Name,Location,Rank,Category,Tuition (Out-of-State),Tuition (In-State),Undergraduate Enrollment
University of Virginia,Charlottesville VA,24,National Universities,60907,23118,17618
Virginia Tech,Blacksburg VA,51,National Universities,37158,15948,30504
William & Mary,Williamsburg VA,54,National Universities,50752,26019,6963
George Mason University,Fairfax VA,109,National Universities,38688,14220,27666
Virginia Commonwealth University,Richmond VA,136,National Universities,39194,16720,21205
James Madison University,Harrisonburg VA,148,National Universities,31264,13918,21008
Hampton University,Hampton VA,273,National Universities,30842,NA,3255
Marymount University,Arlington VA,288,National Universities,40120,NA,2216
Old Dominion University,Norfolk VA,296,National Universities,33780,12750,17736
Radford University,Radford VA,315,National Universities,25186,12548,5704
Shenandoah University,Winchester VA,315,National Universities,36028,NA,2590
University of Lynchburg,Lynchburg VA,329,National Universities,36750,NA,1792
Mary Baldwin University,Staunton VA,377,National Universities,34152,NA,1202
Regent University,Virginia Beach VA,377,National Universities,21650,NA,4577
Washington and Lee University,Lexington VA,19,National Liberal Arts Colleges,68045,NA,1898
University of Richmond,Univ. of Richmond VA,22,National Liberal Arts Colleges,65230,NA,3054
Virginia Military Institute,Lexington VA,59,National Liberal Arts Colleges,NA,NA,1560
Hampden-Sydney College,Hampden-Sydney VA,103,National Liberal Arts Colleges,54550,NA,876
Randolph-Macon College,Ashland VA,103,National Liberal Arts Colleges,49466,NA,1500
Roanoke College,Salem VA,122,National Liberal Arts Colleges,36774,NA,1809
University of Mary Washington,Fredericksburg VA,132,National Liberal Arts Colleges,27560,14640,3611
Hollins University,Roanoke VA,136,National Liberal Arts Colleges,43630,NA,691
Patrick Henry College,Purcellville VA,136,National Liberal Arts Colleges,28425,NA,408
Randolph College,Lynchburg VA,162,National Liberal Arts Colleges,29010,NA,478
Bridgewater College,Bridgewater VA,165,National Liberal Arts Colleges,16090,NA,1391
Sweet Briar College,Sweet Briar VA,173,National Liberal Arts Colleges,26160,NA,464
University of Virginia--Wise,Wise VA,173,National Liberal Arts Colleges,28009,17211,1906
Virginia Wesleyan University,Virginia Beach VA,175,National Liberal Arts Colleges,37500,NA,1626
Southern Virginia University,Buena Vista VA,182,National Liberal Arts Colleges,NA,NA,1053
Christopher Newport University,Newport News VA,6,Regional Universities South,30778,16828,4407
Longwood University,Farmville VA,15,Regional Universities South,28076,15744,3222
Emory & Henry University,Emory VA,26,Regional Universities South,39000,NA,1106
Eastern Mennonite University,Harrisonburg VA,48,Regional Universities South,NA,NA,892
Ferrum College,Ferrum VA,51,Regional Colleges South,NA,NA,835
Norfolk State University,Norfolk VA,55,Regional Universities South,21412,9910,5337
Virginia State University,Petersburg VA,57,Regional Universities South,21874,10043,4829
Averett University,Danville VA,62,Regional Universities South,38550,NA,1192
ECPI University,Virginia Beach VA,110,Regional Universities South,17479,NA,11399
Bluefield University,Bluefield VA,112,Regional Universities South,NA,NA,705
Liberty University,Lynchburg VA,392-434,National Universities,24600,NA,52823
Virginia Union University,Richmond VA,187-204,National Liberal Arts Colleges,17830,NA,1170
Bon Secours Memorial College of Nursing,Richmond VA,Unranked,Health Professions Schools,NA,NA,481
Sentara College of Health Sciences,Chesapeake VA,Unranked,Health Professions Schools,NA,NA,286
